*ItemID,*ItemName,*Price,*CategoryName,AvailabilitySchedule,*AvailableStatus,Description,Photo1,Photo2,Photo3,Photo4,OptionGroup1
THITE2026060709135817599,เต้าหู้ปลา,15,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,ทอดใหม่ทุกไม้ กรอบอร่อย ชุบแป้งเครื่องแกง,https://huawei-food-cms.grab.com/item/THITE2026060709135817599/photos/menueditor_item_fd99f43ddcd746db9243046927df1342_1780823539064393872.jpg,,,,
THITE2026061009281636003,หมึกทอด กุ้งทอด ไส้กรอกพันเบคอนทอด 10 แถม 1(เมนู20 บ.),200,โปรโมชั่น,All opening hours,AVAILABLE,คละไม้ เมนูไม้ละ 20 บาทนะคะ เมนูไหนทานไม่ได้แจ้งสินค้ากับทางร้านได้เลยค่ะ,https://huawei-food-cms.grab.com/item/THITE2026061009281636003/photos/menueditor_item_43ab9d16d29248abb841d9220e6cb8d2_1781083532197588240.jpeg,,,,
THITE20260610092040019592,อกไก่ทอด,15,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,,https://huawei-food-cms.grab.com/item/THITE20260610092040019592/photos/b39b38ad695e40e3977cf6dbda99a1bf_1781083240133702574.png,,,,
THITE2026061009322331650,ลูกชิ้นทอด ไส้กรอกทอดคละไม้ 10 แถม 1,150,โปรโมชั่น,All opening hours,AVAILABLE,คละไม้ เมนูไม้ละ 15 บาทนะคะ เมนูไหนทานไม่ได้แจ้งสินค้ากับทางร้านได้เลยค่ะ,https://huawei-food-cms.grab.com/item/THITE2026061009322331650/photos/menueditor_item_174e7800836e45d5ba47ebd35b38d71a_1781083874195903782.jpeg,,,,
THITE2026060708515354345,ไส้กรอกแดง,15,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,ทอดใหม่ทุกไม้ กรอบอร่อย,https://huawei-food-cms.grab.com/item/THITE2026060708515354345/photos/menueditor_item_5a937d71d171424ba3103ce5de74a8f1_1780822138813612130.jpg,,,,
THITE2026060708542076123,ปีกไก่ติดปลายทอด,20,ของทอดชุบแป้งเครื่องแกง,All opening hours,UNAVAILABLE_PERMANENTLY,ทอดใหม่ทุกไม้ กรอบอร่อย ชุบแป้งเครื่องแกง,https://huawei-food-cms.grab.com/item/THITE2026060708542076123/photos/menueditor_item_0bb6ef3191304ad49ab70e9da62e4e77_1780822490298700282.jpg,,,,
THITE20260610092040021266,ไส้กรอกพันเบคอนทอด,20,ของทอดชุบแป้งเครื่องแกง,All opening hours,UNAVAILABLE_TODAY,,https://huawei-food-cms.grab.com/item/THITE20260610092040021266/photos/2e04cf7e35f84c4ea00858ecaa7d247e_1781083240288407012.png,,,,
THITE20260610092040034049,ลูกชิ้นไก่ทอด,20,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,,https://huawei-food-cms.grab.com/item/THITE20260610092040034049/photos/5d0bef2616f840fb8db922811e1fb966_1781083240407204791.png,,,,
THITE2026061009244740155,หมึกทอด,20,ของทอดชุบแป้งเครื่องแกง,All opening hours,UNAVAILABLE_TODAY,เมนูนี้หมึกไม่มีไข่นะคะ,https://huawei-food-cms.grab.com/item/THITE2026061009244740155/photos/menueditor_item_2b4300e5bcee41c18ae13519867644c8_1781083464463305746.jpeg,,,,
THITE2026060709114723024,หมูยอ,15,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,ทอดใหม่ทุกไม้ กรอบอร่อย ชุบแป้งเครื่องแกง,https://huawei-food-cms.grab.com/item/THITE2026060709114723024/photos/menueditor_item_b8e61f9c9a93410a8d372ce77a925fcb_1780823470044057078.jpg,,,,
THITE2026061313443422055,เล็บมือไก่ 5 ไม้,65,โปรโมชั่น,All opening hours,AVAILABLE,ทานในวงสังสรรค์ แซ่บนัว,https://huawei-food-cms.grab.com/item/THITE2026061313443422055/photos/menueditor_item_614dc6cdd72244a3996ffa5e7dabb155_1781358242533097462.jpeg,,,,
THITE2026060709074586002,กุ้งทอด,20,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,ทอดใหม่ทุกไม้ กรอบอร่อย ชุบแป้งเครื่องแกง,https://huawei-food-cms.grab.com/item/THITE2026060709074586002/photos/menueditor_item_cf6a87bb0a3b407190621f594d38eb5f_1781357483449404702.jpg,,,,
THITE2026060709164655036,หมึกไข่,70,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,"ทอดใหม่ทุกไม้ กรอบอร่อย ชุบแป้งเครื่องแกงคัดหมึกไข่อย่างดี แน่นๆ",https://huawei-food-cms.grab.com/item/THITE2026060709164655036/photos/menueditor_item_69f2db0f816447dd992bedf2f002cd88_1781357608237843125.jpg,,,,
THITE2026061313415874981,หมึกทอด กุ้งทอด ไส้กรอกพันเบคอนทอด 6 ไม้(เมนู20 บ.),115,โปรโมชั่น,All opening hours,AVAILABLE,เมนู 20 บาท คละไม้ค่ะ,https://huawei-food-cms.grab.com/item/THITE2026061313415874981/photos/menueditor_item_78886d56d83f4f63b36d419e1cb46bf3_1781358145557796293.jpeg,,,,
THITE2026061009342899028,ลูกชิ้นทอด ไส้กรอกทอดคละไม้ 6 ไม้,85,โปรโมชั่น,All opening hours,AVAILABLE,คละไม้ เมนูไม้ละ 15 บาทนะคะ เมนูไหนทานไม่ได้แจ้งสินค้ากับทางร้านได้เลยค่ะ,https://huawei-food-cms.grab.com/item/THITE2026061009342899028/photos/menueditor_item_880f447835f6464bbdffe78d5bd85f23_1781084174297426376.jpeg,,,,
THITE2026061313470408065,น้ำจิ้มถั่วซีฟู้ด,12,ของทอดชุบแป้งเครื่องแกง,All opening hours,AVAILABLE,น้ำจิ้มสุดแซ่บจากทางร้าน,https://huawei-food-cms.grab.com/item/THITE2026061313470408065/photos/menueditor_item_4f799809b90040ed946a2e3ac97b23dc_1781358414617699952.jpeg,,,,